@relation bookkeeper_training_1

@attribute LinesOfCode numeric
@attribute AddedLOC numeric
@attribute MaxAddedLOC numeric
@attribute AvgAddedLOC numeric
@attribute TouchedLOC numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute NumberOfAuthors numeric
@attribute NumberOfRevisions numeric
@attribute NumberOfDefectsFixed numeric
@attribute Buggy {'True', 'False'}

@data
216.0,19.0,9.0,6.3333335,27.0,11.0,7.0,3.6666667,1,3,2,False
55.0,9.0,9.0,9.0,13.0,5.0,5.0,5.0,1,1,0,False
184.0,8.0,4.0,2.6666667,17.0,3.0,2.0,1.0,2,3,2,False
65.0,13.0,13.0,13.0,22.0,4.0,4.0,4.0,1,1,1,False
150.0,26.0,25.0,13.0,59.0,7.0,7.0,3.5,1,2,1,False
81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
905.0,221.0,95.0,24.555555,299.0,143.0,65.0,15.888889,3,9,5,False
312.0,70.0,44.0,14.0,76.0,64.0,44.0,12.8,3,5,2,False
171.0,5.0,5.0,5.0,8.0,2.0,2.0,2.0,1,1,0,False
153.0,30.0,19.0,5.0,103.0,49.0,46.0,8.166667,3,6,3,False
84.0,26.0,26.0,26.0,35.0,17.0,17.0,17.0,1,1,0,False
169.0,5.0,4.0,2.5,6.0,4.0,4.0,2.0,2,2,1,False
189.0,17.0,15.0,5.6666665,18.0,16.0,15.0,5.3333335,2,3,1,False
127.0,59.0,37.0,11.8,94.0,24.0,14.0,4.8,2,5,3,False
79.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1,1,1,False
90.0,25.0,25.0,25.0,47.0,3.0,3.0,3.0,1,1,1,False
85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
123.0,20.0,10.0,6.6666665,22.0,20.0,10.0,6.6666665,3,3,1,False
276.0,61.0,30.0,20.333334,62.0,60.0,30.0,20.0,2,3,2,False
549.0,182.0,110.0,30.333334,192.0,182.0,110.0,30.333334,2,6,4,False
27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,1,1,0,False
88.0,93.0,88.0,46.5,94.0,92.0,88.0,46.0,1,2,0,False
283.0,36.0,23.0,9.0,42.0,30.0,23.0,7.5,3,4,3,False
175.0,12.0,7.0,6.0,42.0,24.0,21.0,12.0,2,2,2,False
507.0,29.0,15.0,7.25,65.0,25.0,16.0,6.25,2,4,4,False
209.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,False
147.0,5.0,5.0,5.0,7.0,3.0,3.0,3.0,1,1,1,False
98.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1,1,0,False
132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,1,1,1,False
236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,1,1,0,False
227.0,49.0,26.0,16.333334,52.0,46.0,26.0,15.333333,2,3,2,False
172.0,20.0,10.0,6.6666665,22.0,18.0,8.0,6.0,2,3,2,False
507.0,153.0,61.0,17.0,192.0,114.0,59.0,12.666667,2,9,4,False
90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,1,1,0,False
58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,1,1,0,False
132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
529.0,9.0,5.0,2.25,22.0,4.0,3.0,1.0,1,4,0,False
694.0,193.0,48.0,19.3,295.0,107.0,43.0,10.7,3,10,5,False
148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
92.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,1,1,0,False
77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,1,1,0,False
664.0,665.0,664.0,332.5,666.0,664.0,664.0,332.0,1,2,0,False
55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,1,1,0,False
256.0,43.0,33.0,14.333333,64.0,22.0,19.0,7.3333335,2,3,1,False
54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,1,1,0,False
69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,1,1,0,False
94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
318.0,86.0,47.0,28.666666,91.0,81.0,47.0,27.0,2,3,0,False
136.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1,1,0,False
141.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,1,0,False
190.0,15.0,15.0,15.0,17.0,13.0,13.0,13.0,1,1,0,False
46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
165.0,59.0,59.0,59.0,81.0,37.0,37.0,37.0,1,1,0,False
162.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,1,1,0,False
58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
148.0,9.0,9.0,9.0,19.0,1.0,1.0,1.0,1,1,0,False
74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,1,1,0,False
37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
114.0,14.0,14.0,14.0,28.0,0.0,0.0,0.0,1,1,0,False
342.0,42.0,42.0,42.0,78.0,6.0,6.0,6.0,1,1,0,False
84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
129.0,7.0,7.0,7.0,8.0,6.0,6.0,6.0,1,1,1,False
363.0,5.0,5.0,5.0,16.0,6.0,6.0,6.0,1,1,1,False
242.0,12.0,12.0,12.0,13.0,11.0,11.0,11.0,1,1,1,False
682.0,120.0,38.0,30.0,144.0,96.0,37.0,24.0,1,4,1,False
366.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1,1,0,False
103.0,5.0,5.0,5.0,6.0,4.0,4.0,4.0,1,1,1,False
41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
63.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1,1,0,False
47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
143.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,False
43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
56.0,3.0,3.0,3.0,6.0,0.0,0.0,0.0,1,1,0,False
162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
6523.0,6504.0,6504.0,6504.0,12852.0,156.0,156.0,156.0,1,1,0,False
153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
